Company_Scheme,Cohort,pdf_files,FinalInclusion
AA INSURANCE LIMITED,FY23/24,AA Insurance 2024 Climate Statements.pdf,1
AA INSURANCE LIMITED,FY24/25,AA Insurance 2025 Climate Statement FINAL SIGNED.pdf,1
AFT PHARMACEUTICALS LIMITED,FY23/24,240523 FY2024 Annual Report.pdf,1
AFT PHARMACEUTICALS LIMITED,FY24/25,250522 AFT FY25 Annual Report.pdf,1
AIA NEW ZEALAND LIMITED,FY23/24,AIA NZ Climate Related Disclosers Report FINAL_signed.pdf,1
AIA NEW ZEALAND LIMITED,FY24/25,AIA NZ Group Annual Report Dec-2024 FINAL_stamped.pdf,1
AIG INSURANCE NEW ZEALAND LIMITED,FY24/25,AIG Insurance New Zealand Limited Climate Statement 2024.pdf,1
AIR NEW ZEALAND LIMITED,FY23/24,2024 Air New Zealand CLIMATE STATEMENT updated with signatures 9 Oct 24.pdf,1
AIR NEW ZEALAND LIMITED,FY24/25,airnz-2025-climate-statement.pdf,1
ANZ BANK NEW ZEALAND LIMITED,FY24/25,ANZBankNZCRDFY24.pdf,1
ANZ GROUP HOLDINGS LIMITED,FY24/25,Notice to RoFSP - FY24 CRD.pdf,1
ARBORGEN HOLDINGS LIMITED,FY23/24,24-07-30 ArborGen Holdings Limited Climate Statements for FY24.pdf,1
ARBORGEN HOLDINGS LIMITED,FY24/25,25-07-31 ArborGen Holdings Climate Statements FY25.pdf,1
ARGOSY PROPERTY LIMITED,FY23/24,2024-Climate-Related-Financial-Disclosures FINAL.pdf,1
ARGOSY PROPERTY LIMITED,FY24/25,2025-Climate-related-Disclosures-20.05.2025.pdf,1
ARVIDA GROUP LIMITED,FY23/24,Arvida Group Limited - Annual Report with Climate Related Disclosures - FY24.pdf,1
ARVIDA GROUP LIMITED,FY24/25,2025 CRD Report.pdf,1
ASB BANK LIMITED,FY23/24,ASB FY24 Sustainability Report and Climate Statement.pdf,1
ASB BANK LIMITED,FY24/25,ASB Bank Sustainability Report and Climate Statement 2025.pdf,1
ASSET PLUS LIMITED,FY23/24,Asset Plus FY24 Climate Statement.pdf,1
ASSET PLUS LIMITED,FY24/25,Asset Plus Limited FY25 Climate Statements.pdf,1
ASTERON LIFE LIMITED,FY23/24,Asteron Life Limited FY24 Climate Related Disclosure - October 2024.pdf,1
ASTERON LIFE LIMITED,FY24/25,Asteron Life Climate-related Disclosure - 1 July 2024 to 31 December 2025.pdf,1
AUCKLAND COUNCIL,FY23/24,AR 2023-2024 Climate Statement 16.10.24.pdf,1
AUCKLAND COUNCIL,FY24/25,Auckland Council Climate Statement 2024-2025.pdf,1
AUCKLAND INTERNATIONAL AIRPORT LIMITED,FY23/24,2024 Climate-related Disclosure.pdf,1
AUCKLAND INTERNATIONAL AIRPORT LIMITED,FY24/25,2025 Climate-related disclosure.pdf,1
BANK OF NEW ZEALAND,FY24/25,BNZ Climate Statements 2024.pdf,1
BARRAMUNDI LIMITED,FY23/24,Barramundi Limited - Climate Statement - 30 June 2024.pdf,1
BARRAMUNDI LIMITED,FY24/25,Barramundi 2025 Climate Statement.pdf,1
BRISCOE GROUP LIMITED,FY23/24,Briscoe Group 2024 Climate-Related Disclosures (amended with Director Signatures).pdf,1
BRISCOE GROUP LIMITED,FY24/25,Briscoe Group 2025 Annual Report.pdf,1
CDL INVESTMENTS NEW ZEALAND LIMITED,FY23/24,CDL0017_Climate_Related_Disclosures_2023.pdf,1
CDL INVESTMENTS NEW ZEALAND LIMITED,FY24/25,CDL Climate Statement 28-04-25 (003).pdf,1
CHANNEL INFRASTRUCTURE NZ LIMITED,FY23/24,Resilient infrastructure for a decarbonising world (7) - FINAL 28.02.24 9.30pm.pdf,1
CHANNEL INFRASTRUCTURE NZ LIMITED,FY24/25,2024 Sustainability Report reduced file new audit report (1).pdf,1
CHINA CONSTRUCTION BANK (NEW ZEALAND) LIMITED,FY23/24,CCBNZL Climate Report for the year ended 31 December 2023.pdf,1
CHINA CONSTRUCTION BANK (NEW ZEALAND) LIMITED,FY24/25,climate report 2024 sub.pdf,1
CHORUS LIMITED,FY23/24,Chorus Climate Statements FY24 (dated and signed as at 26 Aug).pdf,1
CHORUS LIMITED,FY24/25,Chorus FY25 Climate Statements.pdf,1
CHRISTCHURCH CITY HOLDINGS LIMITED,FY23/24,CCHL-Climate-Statement-2024.pdf,1
CHRISTCHURCH CITY HOLDINGS LIMITED,FY24/25,CCHL Climate Statement 2025 â€“ web.pdf,1
CHRISTCHURCH INTERNATIONAL AIRPORT LIMITED,FY23/24,CIAL - ClimateRelatedDisclosure FY24.pdf,1
CHRISTCHURCH INTERNATIONAL AIRPORT LIMITED,FY24/25,CIALTS25007 Climate Related Disclosure FINAL.pdf,1
CHUBB LIFE INSURANCE NEW ZEALAND LIMITED,FY23/24,Chubb Life Insurance New Zealand Limited Climate Disclosure 2023.pdf,1
CHUBB LIFE INSURANCE NEW ZEALAND LIMITED,FY24/25,2024 Chubb Life Climate Related Disclosures.pdf,1
"CITIBANK, N.A.",FY23/24,2023 Climate Statements for Citibank N.A. (New Zealand Branch).pdf,1
COMMONWEALTH BANK OF AUSTRALIA,FY23/24,CBA NZ Climate Statement 2024.pdf,1
COMVITA LIMITED,FY23/24,Comvita Limited Climate Statement FY24.pdf,1
COMVITA LIMITED,FY24/25,2025 Climate Statement.pdf,1
CONTACT ENERGY LIMITED,FY23/24,CON045 Climate Disclosure 24V.pdf,1
CONTACT ENERGY LIMITED,FY24/25,180825  Climate Statement.pdf,1
COOPERATIEVE RABOBANK U.A.,FY23/24,Rabobank New Zealand Banking Group 2023 Climate Statements.pdf,1
COOPERATIEVE RABOBANK U.A.,FY24/25,ClimateStatements_2024_NZBG_Final.pdf,1
