,Company Name,PeriodText,Type,Investment Scheme Name,status,period_year,Company_Scheme,PeriodDate,Analysed_2024,Status,Cohort,pdf_files,pdf_count,no_pdf,Industry,Types
0,AA INSURANCE LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,AA INSURANCE LIMITED,2025-06-30,,Submitted,FY24/25,"['AA Insurance 2025 Climate Statement FINAL SIGNED.pdf', 'GHG assurance report FY25 SIGNED.pdf']",2,0,Finance - Insurance,Normal companies
1,AA INSURANCE LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AA INSURANCE LIMITED,2024-06-30,,Submitted,FY23/24,['AA Insurance 2024 Climate Statements.pdf'],1,0,Finance - Insurance,Normal companies
2,AFT PHARMACEUTICALS LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AFT PHARMACEUTICALS LIMITED,2024-03-31,,Submitted,FY23/24,"['240523 FY2024 Annual Report.pdf', 'FY2024 Annual Report also dated on page 9.pdf']",2,0,Pharmaceuticals,Normal companies
3,AFT PHARMACEUTICALS LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,AFT PHARMACEUTICALS LIMITED,2025-03-31,,Submitted,FY24/25,['250522 AFT FY25 Annual Report.pdf'],1,0,Pharmaceuticals,Normal companies
4,AFT PHARMACEUTICALS LIMITED,31-03-2026 - Due by 31-07-2026,Normal companies,,Have records but not submitted,2026,AFT PHARMACEUTICALS LIMITED,2026-03-31,,Not yet submitted,FY25/26,[],0,1,Pharmaceuticals,Normal companies
5,AIA NEW ZEALAND LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AIA NEW ZEALAND LIMITED,2024-12-31,,Submitted,FY24/25,['AIA NZ Group Annual Report Dec-2024 FINAL_stamped.pdf'],1,0,Finance - Insurance,Normal companies
6,AIA NEW ZEALAND LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,AIA NEW ZEALAND LIMITED,2023-12-31,1.0,Submitted,FY23/24,['AIA NZ Climate Related Disclosers Report FINAL_signed.pdf'],1,0,Finance - Insurance,Normal companies
7,AIA NEW ZEALAND LIMITED,31-12-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,AIA NEW ZEALAND LIMITED,2025-12-31,,Submitted,FY25/26,['251231 AIANZL FS S78.pdf'],1,0,Finance - Insurance,Normal companies
8,AIG INSURANCE NEW ZEALAND LIMITED,31-12-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,AIG INSURANCE NEW ZEALAND LIMITED,2025-12-31,,Submitted,FY25/26,['AIG Insurance New Zealand Limited Climate Statement 2025.pdf'],1,0,Finance - Insurance,Normal companies
9,AIG INSURANCE NEW ZEALAND LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AIG INSURANCE NEW ZEALAND LIMITED,2024-12-31,,Submitted,FY24/25,"['AIG Insurance New Zealand Limited Climate Statement 2024.pdf', 'AIG Insurance New Zealand Limited GHG Assurance Report.pdf', 'AIGNZ Climate Exemption Letter May 2025.pdf']",3,0,Finance - Insurance,Normal companies
10,AIR NEW ZEALAND LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AIR NEW ZEALAND LIMITED,2024-06-30,,Submitted,FY23/24,['2024 Air New Zealand CLIMATE STATEMENT updated with signatures 9 Oct 24.pdf'],1,0,Airport,Normal companies
11,AIR NEW ZEALAND LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,AIR NEW ZEALAND LIMITED,2025-06-30,,Submitted,FY24/25,['airnz-2025-climate-statement.pdf'],1,0,Airport,Normal companies
12,ANZ BANK NEW ZEALAND LIMITED,30-09-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,ANZ BANK NEW ZEALAND LIMITED,2024-09-30,,Submitted,FY24/25,['ANZBankNZCRDFY24.pdf'],1,0,Finance - Banks,Normal companies
13,ANZ BANK NEW ZEALAND LIMITED,30-09-2024 - Not required to lodge,Normal companies,,,2024,ANZ BANK NEW ZEALAND LIMITED,2024-09-30,,Not required to lodge,FY24/25,['ANZBankNZCRDFY24.pdf'],1,0,Finance - Banks,Normal companies
14,ANZ BANK NEW ZEALAND LIMITED,30-09-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,ANZ BANK NEW ZEALAND LIMITED,2025-09-30,,Submitted,FY25/26,['ANZ Bank New Zealand Limited Climate Statement 2025.pdf'],1,0,Finance - Banks,Normal companies
15,ANZ GROUP HOLDINGS LIMITED,30-09-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,ANZ GROUP HOLDINGS LIMITED,2024-09-30,,Submitted,FY24/25,['Notice to RoFSP - FY24 CRD.pdf'],1,0,Finance - Banks,Normal companies
16,ANZ GROUP HOLDINGS LIMITED,30-09-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,ANZ GROUP HOLDINGS LIMITED,2025-09-30,,Submitted,FY25/26,['FY25 ANZGHL Notice to Registrar - For Submission.pdf'],1,0,Finance - Banks,Normal companies
17,ARBORGEN HOLDINGS LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,ARBORGEN HOLDINGS LIMITED,2024-03-31,,Submitted,FY23/24,['24-07-30 ArborGen Holdings Limited Climate Statements for FY24.pdf'],1,0,Agriculture,Normal companies
18,ARBORGEN HOLDINGS LIMITED,31-03-2026 - Due by 31-07-2026,Normal companies,,Have records but not submitted,2026,ARBORGEN HOLDINGS LIMITED,2026-03-31,,Not yet submitted,FY25/26,[],0,1,Agriculture,Normal companies
19,ARBORGEN HOLDINGS LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,ARBORGEN HOLDINGS LIMITED,2025-03-31,,Submitted,FY24/25,['25-07-31 ArborGen Holdings Climate Statements FY25.pdf'],1,0,Agriculture,Normal companies
20,ARGOSY PROPERTY LIMITED,31-03-2024 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2024,ARGOSY PROPERTY LIMITED,2024-03-31,,Submitted,FY23/24,['2024-Climate-Related-Financial-Disclosures FINAL.pdf'],1,0,Real Estates,Normal companies
21,ARGOSY PROPERTY LIMITED,31-03-2026 - Due by 31-07-2026,Normal companies,,Have records but not submitted,2026,ARGOSY PROPERTY LIMITED,2026-03-31,,Not yet submitted,FY25/26,[],0,1,Real Estates,Normal companies
22,ARGOSY PROPERTY LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,ARGOSY PROPERTY LIMITED,2025-03-31,,Submitted,FY24/25,['2025-Climate-related-Disclosures-20.05.2025.pdf'],1,0,Real Estates,Normal companies
23,ARVIDA GROUP LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,ARVIDA GROUP LIMITED,2024-03-31,,Submitted,FY23/24,"['Arvida Group Limited - Annual Report with Climate Related Disclosures - FY24.pdf', 'Arvida Group Limited - Emissions Inventory Report with Assurance - FY24.pdf']",2,0,Retirement Village,Normal companies
24,ARVIDA GROUP LIMITED,31-03-2026 - Due by 31-07-2026,Normal companies,,Have records but not submitted,2026,ARVIDA GROUP LIMITED,2026-03-31,,Not yet submitted,FY25/26,[],0,1,Retirement Village,Normal companies
25,ARVIDA GROUP LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,ARVIDA GROUP LIMITED,2025-03-31,,Submitted,FY24/25,"['2025 CRD Report.pdf', '2025 GHG Report.pdf', 'Sustainability Framework.pdf']",3,0,Retirement Village,Normal companies
26,ASB BANK LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,ASB BANK LIMITED,2024-06-30,1.0,Submitted,FY23/24,['ASB FY24 Sustainability Report and Climate Statement.pdf'],1,0,Finance - Banks,Normal companies
27,ASB BANK LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,ASB BANK LIMITED,2025-06-30,,Submitted,FY24/25,['ASB Bank Sustainability Report and Climate Statement 2025.pdf'],1,0,Finance - Banks,Normal companies
28,ASSET PLUS LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,ASSET PLUS LIMITED,2024-03-31,,Submitted,FY23/24,['Asset Plus FY24 Climate Statement.pdf'],1,0,Finance - Other,Normal companies
29,ASSET PLUS LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,ASSET PLUS LIMITED,2025-03-31,,Submitted,FY24/25,['Asset Plus Limited FY25 Climate Statements.pdf'],1,0,Finance - Other,Normal companies
30,ASSET PLUS LIMITED,31-03-2026 - Due by 31-07-2026,Normal companies,,Have records but not submitted,2026,ASSET PLUS LIMITED,2026-03-31,,Not yet submitted,FY25/26,[],0,1,Finance - Other,Normal companies
31,ASTERON LIFE LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,ASTERON LIFE LIMITED,2024-06-30,,Submitted,FY23/24,['Asteron Life Limited FY24 Climate Related Disclosure - October 2024.pdf'],1,0,Finance - Insurance,Normal companies
32,ASTERON LIFE LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,ASTERON LIFE LIMITED,2025-06-30,,Submitted,FY24/25,['Asteron Life Climate-related Disclosure - 1 July 2024 to 31 December 2025.pdf'],1,0,Finance - Insurance,Normal companies
33,AUCKLAND COUNCIL,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AUCKLAND COUNCIL,2024-06-30,,Submitted,FY23/24,"['AR 2023-2024 Climate Statement 16.10.24.pdf', 'AR 2023-2024 Vol 1 15.10.24_SCREEN.pdf', 'AR 2023-2024 Vol 3 15.10.24 SCREEN.pdf']",3,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
34,AUCKLAND COUNCIL,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,AUCKLAND COUNCIL,2025-06-30,,Submitted,FY24/25,['Auckland Council Climate Statement 2024-2025.pdf'],1,0,"Other (Industrials, Consumer, Tech, Transport, etc.)",Normal companies
35,AUCKLAND INTERNATIONAL AIRPORT LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,AUCKLAND INTERNATIONAL AIRPORT LIMITED,2025-06-30,,Submitted,FY24/25,['2025 Climate-related disclosure.pdf'],1,0,Airport,Normal companies
36,AUCKLAND INTERNATIONAL AIRPORT LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AUCKLAND INTERNATIONAL AIRPORT LIMITED,2024-06-30,,Submitted,FY23/24,['2024 Climate-related Disclosure.pdf'],1,0,Airport,Normal companies
37,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,30-09-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,2024-09-30,,Submitted,FY24/25,['ANZBGL Exemption lttr FY24.pdf'],1,0,Finance - Banks,Normal companies
38,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,30-09-2024 - Not required to lodge,Normal companies,,,2024,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,2024-09-30,,Not required to lodge,FY24/25,['ANZBGL Exemption lttr FY24.pdf'],1,0,Finance - Banks,Normal companies
39,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,30-09-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,2025-09-30,,Submitted,FY25/26,[],0,1,Finance - Banks,Normal companies
