,count
not_found,15
CBAx tool (NZ Treasury),2
MAGICCv7.5.3,2
NASA Sea Level Change Portal,2
GISS-E2.1,2
Beta regression,2
ESGIS geospatial platform,1
MSCI physical risk scenario modelling,1
Treasury New Zealand CBAx Tool,1
Beca flood modelling (2023),1
Beca (flood and inundation modelling),1
KatRisk SpatialKat,1
Transpower Whakamana I Te Mauri Hiko,1
ARIMAX regression model,1
enterprise risk matrix,1
vulnerability and exposure tool,1
council flood studies,1
reinsurance catastrophe models,1
technical pricing models,1
actuarial loss reserving models,1
capital models,1
emanage,1
vendor flood models,1
LandscapeDNA,1
Transpower growth forecasts,1
BERL economic modelling,1
risk-based flood pricing models,1
EECA projections,1
capital modelling,1
ALOS elevation model,1
NATHAN hazard zones (Munich Re),1
GIS flood modelling,1
SSPs (Shared Socioeconomic Pathways),1
GZA Scope 3 Calculator,1
Generate Zero,1
third party risk data (flooding),1
World Meteorological Organisation,1
OECD Env-Growth (SSP GDP projections),1
NorESM2-MM (GCM ensemble),1
AWI-CM1-1-MR (GCM ensemble),1
