Link,Company Name,PeriodText,PeriodHref,Type,Investment Scheme Name,DocumentLink,status,period_year
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=8b6b5ca5-8394-ee11-be37-00224892b34a,AA INSURANCE LIMITED,30-06-2025 - Select to view climate statement documents,/dashboard/reportingentity/scheme/reportingrequirement/?id=0f7b9709-4956-f011-bec2-000d3ad2b7eb,companies,,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/scheme/reportingrequirement/?id=0f7b9709-4956-f011-bec2-000d3ad2b7eb,Have records and have submitted,2025
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=8b6b5ca5-8394-ee11-be37-00224892b34a,AA INSURANCE LIMITED,30-06-2024 - Select to view climate statement documents,/dashboard/reportingentity/scheme/reportingrequirement/?id=12abfd8b-7737-ef11-a316-002248114338,companies,,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/scheme/reportingrequirement/?id=12abfd8b-7737-ef11-a316-002248114338,Have records and have submitted,2024
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=a96b5ca5-8394-ee11-be37-00224892b34a,AFT PHARMACEUTICALS LIMITED,31-03-2024 - Select to view climate statement documents,/dashboard/reportingentity/scheme/reportingrequirement/?id=c3ee5d19-edef-ee11-904b-002248935a36,companies,,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/scheme/reportingrequirement/?id=c3ee5d19-edef-ee11-904b-002248935a36,Have records and have submitted,2024
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=a96b5ca5-8394-ee11-be37-00224892b34a,AFT PHARMACEUTICALS LIMITED,31-03-2025 - Select to view climate statement documents,/dashboard/reportingentity/scheme/reportingrequirement/?id=ab509598-be0e-f011-998a-6045bdc220dd,companies,,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/scheme/reportingrequirement/?id=ab509598-be0e-f011-998a-6045bdc220dd,Have records and have submitted,2025
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=a96b5ca5-8394-ee11-be37-00224892b34a,AFT PHARMACEUTICALS LIMITED,31-03-2026 - Due by 31-07-2026,/dashboard/reportingentity/scheme/reportingrequirement/?id=930b8314-902d-f111-88b3-6045bdc30749,companies,,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/scheme/reportingrequirement/?id=930b8314-902d-f111-88b3-6045bdc30749,Have records but not submitted,2026
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=8d6b5ca5-8394-ee11-be37-00224892b34a,AIA NEW ZEALAND LIMITED,31-12-2024 - Select to view climate statement documents,/dashboard/reportingentity/scheme/reportingrequirement/?id=9ecb9fae-05c8-ef11-a72f-000d3ad1a032,companies,,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/scheme/reportingrequirement/?id=9ecb9fae-05c8-ef11-a72f-000d3ad1a032,Have records and have submitted,2024
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=8d6b5ca5-8394-ee11-be37-00224892b34a,AIA NEW ZEALAND LIMITED,31-12-2023 - Click to view Climate Statement/s,/dashboard/reportingentity/scheme/reportingrequirement/?id=457e386d-99ad-ee11-a569-0022489339ad,companies,,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/scheme/reportingrequirement/?id=457e386d-99ad-ee11-a569-0022489339ad,Have records and have submitted,2023
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=8d6b5ca5-8394-ee11-be37-00224892b34a,AIA NEW ZEALAND LIMITED,31-12-2025 - Select to view climate statement documents,/dashboard/reportingentity/scheme/reportingrequirement/?id=0b916f30-d7e6-f011-8544-7c1e52623273,companies,,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/scheme/reportingrequirement/?id=0b916f30-d7e6-f011-8544-7c1e52623273,Have records and have submitted,2025
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=4fe2dfb9-81f4-ef11-be20-7c1e52634173,AIG INSURANCE NEW ZEALAND LIMITED,31-12-2025 - Select to view climate statement documents,/dashboard/reportingentity/scheme/reportingrequirement/?id=4e926836-d7e6-f011-8544-7c1e52623273,companies,,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/scheme/reportingrequirement/?id=4e926836-d7e6-f011-8544-7c1e52623273,Have records and have submitted,2025
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=4fe2dfb9-81f4-ef11-be20-7c1e52634173,AIG INSURANCE NEW ZEALAND LIMITED,31-12-2024 - Select to view climate statement documents,/dashboard/reportingentity/scheme/reportingrequirement/?id=58a06da8-a6f4-ef11-be20-7c1e52634173,companies,,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/scheme/reportingrequirement/?id=58a06da8-a6f4-ef11-be20-7c1e52634173,Have records and have submitted,2024
