Link,Company Name,Investment Scheme Name,PeriodText,PeriodHref
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/scheme/?id=ff5ba035-8a94-ee11-be37-00224892b34a,AMP WEALTH MANAGEMENT NEW ZEALAND LIMITED,AMP INVESTMENT TRUST (SCH10721),31-03-2024 - Select to view climate statement documents,/dashboard/reportingentity/scheme/reportingrequirement/?id=bb3d1d3a-edef-ee11-904b-000d3acaccc9
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/scheme/?id=ff5ba035-8a94-ee11-be37-00224892b34a,AMP WEALTH MANAGEMENT NEW ZEALAND LIMITED,AMP INVESTMENT TRUST (SCH10721),31-03-2026 - Due by 31-07-2026,/dashboard/reportingentity/scheme/reportingrequirement/?id=00245923-902d-f111-88b3-7c1e52626c45
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/scheme/?id=ff5ba035-8a94-ee11-be37-00224892b34a,AMP WEALTH MANAGEMENT NEW ZEALAND LIMITED,AMP INVESTMENT TRUST (SCH10721),31-03-2025 - Select to view climate statement documents,/dashboard/reportingentity/scheme/reportingrequirement/?id=a7afa3a8-be0e-f011-9989-7ced8d3330a8
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/scheme/?id=fd5ba035-8a94-ee11-be37-00224892b34a,AMP WEALTH MANAGEMENT NEW ZEALAND LIMITED,AMP KIWISAVER SCHEME (SCH10367),31-03-2024 - Select to view climate statement documents,/dashboard/reportingentity/scheme/reportingrequirement/?id=6568463a-edef-ee11-904b-002248925c46
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/scheme/?id=fd5ba035-8a94-ee11-be37-00224892b34a,AMP WEALTH MANAGEMENT NEW ZEALAND LIMITED,AMP KIWISAVER SCHEME (SCH10367),31-03-2026 - Due by 31-07-2026,/dashboard/reportingentity/scheme/reportingrequirement/?id=95951223-902d-f111-88b4-7c1e52626825
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/scheme/?id=fd5ba035-8a94-ee11-be37-00224892b34a,AMP WEALTH MANAGEMENT NEW ZEALAND LIMITED,AMP KIWISAVER SCHEME (SCH10367),31-03-2025 - Select to view climate statement documents,/dashboard/reportingentity/scheme/reportingrequirement/?id=7c592fa7-be0e-f011-998a-7c1e52634173
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/scheme/?id=095ca035-8a94-ee11-be37-00224892b34a,AMP WEALTH MANAGEMENT NEW ZEALAND LIMITED,AMP MANAGED FUNDS (SCH13265),31-03-2024 - Select to view climate statement documents,/dashboard/reportingentity/scheme/reportingrequirement/?id=9f6d953b-edef-ee11-904b-00224896b329
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/scheme/?id=095ca035-8a94-ee11-be37-00224892b34a,AMP WEALTH MANAGEMENT NEW ZEALAND LIMITED,AMP MANAGED FUNDS (SCH13265),31-03-2026 - Due by 31-07-2026,/dashboard/reportingentity/scheme/reportingrequirement/?id=499c1a24-902d-f111-88b4-6045bde5df36
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/scheme/?id=095ca035-8a94-ee11-be37-00224892b34a,AMP WEALTH MANAGEMENT NEW ZEALAND LIMITED,AMP MANAGED FUNDS (SCH13265),31-03-2025 - Select to view climate statement documents,/dashboard/reportingentity/scheme/reportingrequirement/?id=a7592fa7-be0e-f011-998a-7c1e52634173
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/scheme/?id=035ca035-8a94-ee11-be37-00224892b34a,AMP WEALTH MANAGEMENT NEW ZEALAND LIMITED,AMP PASSIVE PERSONAL RETIREMENT PLAN - INTERNATIONAL PASSIVE SHARES INVESTMENT FUND (SCH10821),31-03-2024 - Select to view climate statement documents,/dashboard/reportingentity/scheme/reportingrequirement/?id=946d953b-edef-ee11-904b-00224896b329
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/scheme/?id=035ca035-8a94-ee11-be37-00224892b34a,AMP WEALTH MANAGEMENT NEW ZEALAND LIMITED,AMP PASSIVE PERSONAL RETIREMENT PLAN - INTERNATIONAL PASSIVE SHARES INVESTMENT FUND (SCH10821),31-03-2026 - Due by 31-07-2026,/dashboard/reportingentity/scheme/reportingrequirement/?id=0a9c1a24-902d-f111-88b4-6045bde5df36
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/scheme/?id=035ca035-8a94-ee11-be37-00224892b34a,AMP WEALTH MANAGEMENT NEW ZEALAND LIMITED,AMP PASSIVE PERSONAL RETIREMENT PLAN - INTERNATIONAL PASSIVE SHARES INVESTMENT FUND (SCH10821),31-03-2025 - Select to view climate statement documents,/dashboard/reportingentity/scheme/reportingrequirement/?id=bbafa3a8-be0e-f011-9989-7ced8d3330a8
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/scheme/?id=055ca035-8a94-ee11-be37-00224892b34a,AMP WEALTH MANAGEMENT NEW ZEALAND LIMITED,AMP PASSIVE PERSONAL RETIREMENT PLAN - NEW ZEALAND PASSIVE SHARES INVESTMENT FUND (SCH10822),31-03-2024 - Select to view climate statement documents,/dashboard/reportingentity/scheme/reportingrequirement/?id=1155103a-edef-ee11-904b-002248935a36
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/scheme/?id=055ca035-8a94-ee11-be37-00224892b34a,AMP WEALTH MANAGEMENT NEW ZEALAND LIMITED,AMP PASSIVE PERSONAL RETIREMENT PLAN - NEW ZEALAND PASSIVE SHARES INVESTMENT FUND (SCH10822),31-03-2025 - Select to view climate statement documents,/dashboard/reportingentity/scheme/reportingrequirement/?id=3cffaba4-be0e-f011-998a-6045bdc220dd
