Link,Company Name,PeriodText,PeriodHref
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=8b6b5ca5-8394-ee11-be37-00224892b34a,AA INSURANCE LIMITED,"Reporting Period. sort descendingActions30-06-2025 - Select to view climate statement documentsView details30-06-2024 - Select to view climate statement documentsView detailsThere are no records to display.You don't have permissions to view these records.Error completing request.Loading...Create×CloseEdit×CloseView details×CloseDelete×CloseAre you sure you want to delete this record?DeleteCancelError×CloseWe're sorry, an error has occurred.Close",#
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=8b6b5ca5-8394-ee11-be37-00224892b34a,AA INSURANCE LIMITED,30-06-2025 - Select to view climate statement documents,/dashboard/reportingentity/scheme/reportingrequirement/?id=0f7b9709-4956-f011-bec2-000d3ad2b7eb
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=8b6b5ca5-8394-ee11-be37-00224892b34a,AA INSURANCE LIMITED,30-06-2024 - Select to view climate statement documents,/dashboard/reportingentity/scheme/reportingrequirement/?id=12abfd8b-7737-ef11-a316-002248114338
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=8b6b5ca5-8394-ee11-be37-00224892b34a,AA INSURANCE LIMITED,,
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=8b6b5ca5-8394-ee11-be37-00224892b34a,AA INSURANCE LIMITED,,
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=8b6b5ca5-8394-ee11-be37-00224892b34a,AA INSURANCE LIMITED,,
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=a96b5ca5-8394-ee11-be37-00224892b34a,AFT PHARMACEUTICALS LIMITED,"Reporting Period. sort descendingActions31-03-2024 - Select to view climate statement documentsView details31-03-2025 - Select to view climate statement documentsView details31-03-2026 - Due by 31-07-2026View detailsThere are no records to display.You don't have permissions to view these records.Error completing request.Loading...Create×CloseEdit×CloseView details×CloseDelete×CloseAre you sure you want to delete this record?DeleteCancelError×CloseWe're sorry, an error has occurred.Close",#
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=a96b5ca5-8394-ee11-be37-00224892b34a,AFT PHARMACEUTICALS LIMITED,31-03-2024 - Select to view climate statement documents,/dashboard/reportingentity/scheme/reportingrequirement/?id=c3ee5d19-edef-ee11-904b-002248935a36
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=a96b5ca5-8394-ee11-be37-00224892b34a,AFT PHARMACEUTICALS LIMITED,31-03-2025 - Select to view climate statement documents,/dashboard/reportingentity/scheme/reportingrequirement/?id=ab509598-be0e-f011-998a-6045bdc220dd
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=a96b5ca5-8394-ee11-be37-00224892b34a,AFT PHARMACEUTICALS LIMITED,31-03-2026 - Due by 31-07-2026,/dashboard/reportingentity/scheme/reportingrequirement/?id=930b8314-902d-f111-88b3-6045bdc30749
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=a96b5ca5-8394-ee11-be37-00224892b34a,AFT PHARMACEUTICALS LIMITED,,
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=a96b5ca5-8394-ee11-be37-00224892b34a,AFT PHARMACEUTICALS LIMITED,,
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=a96b5ca5-8394-ee11-be37-00224892b34a,AFT PHARMACEUTICALS LIMITED,,
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=8d6b5ca5-8394-ee11-be37-00224892b34a,AIA NEW ZEALAND LIMITED,"Reporting Period. sort descendingActions31-12-2024 - Select to view climate statement documentsView details31-12-2023 - Click to view Climate Statement/sView details31-12-2025 - Select to view climate statement documentsView detailsThere are no records to display.You don't have permissions to view these records.Error completing request.Loading...Create×CloseEdit×CloseView details×CloseDelete×CloseAre you sure you want to delete this record?DeleteCancelError×CloseWe're sorry, an error has occurred.Close",#
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=8d6b5ca5-8394-ee11-be37-00224892b34a,AIA NEW ZEALAND LIMITED,31-12-2024 - Select to view climate statement documents,/dashboard/reportingentity/scheme/reportingrequirement/?id=9ecb9fae-05c8-ef11-a72f-000d3ad1a032
https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=8d6b5ca5-8394-ee11-be37-00224892b34a,AIA NEW ZEALAND LIMITED,31-12-2023 - Click to view Climate Statement/s,/dashboard/reportingentity/scheme/reportingrequirement/?id=457e386d-99ad-ee11-a569-0022489339ad
