,Unnamed: 0,Company Name,PeriodText,Type,Investment Scheme Name,status,period_year,Company_Scheme,PeriodDate,Analysed_2024,Status,Cohort,pdf_files,pdf_count,no_pdf,Industry,Types
0,0,AA INSURANCE LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,AA INSURANCE LIMITED,2025-06-30,,Submitted,FY24/25,AA Insurance 2025 Climate Statement FINAL SIGNED.pdf,2,0,Finance - Insurance,Normal companies
1,0,AA INSURANCE LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,AA INSURANCE LIMITED,2025-06-30,,Submitted,FY24/25,GHG assurance report FY25 SIGNED.pdf,2,0,Finance - Insurance,Normal companies
2,1,AA INSURANCE LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AA INSURANCE LIMITED,2024-06-30,,Submitted,FY23/24,AA Insurance 2024 Climate Statements.pdf,1,0,Finance - Insurance,Normal companies
3,2,AFT PHARMACEUTICALS LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AFT PHARMACEUTICALS LIMITED,2024-03-31,,Submitted,FY23/24,240523 FY2024 Annual Report.pdf,2,0,Pharmaceuticals,Normal companies
4,2,AFT PHARMACEUTICALS LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AFT PHARMACEUTICALS LIMITED,2024-03-31,,Submitted,FY23/24,FY2024 Annual Report also dated on page 9.pdf,2,0,Pharmaceuticals,Normal companies
5,3,AFT PHARMACEUTICALS LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,AFT PHARMACEUTICALS LIMITED,2025-03-31,,Submitted,FY24/25,250522 AFT FY25 Annual Report.pdf,1,0,Pharmaceuticals,Normal companies
6,5,AIA NEW ZEALAND LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AIA NEW ZEALAND LIMITED,2024-12-31,,Submitted,FY24/25,AIA NZ Group Annual Report Dec-2024 FINAL_stamped.pdf,1,0,Finance - Insurance,Normal companies
7,6,AIA NEW ZEALAND LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,AIA NEW ZEALAND LIMITED,2023-12-31,1.0,Submitted,FY23/24,AIA NZ Climate Related Disclosers Report FINAL_signed.pdf,1,0,Finance - Insurance,Normal companies
8,7,AIA NEW ZEALAND LIMITED,31-12-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,AIA NEW ZEALAND LIMITED,2025-12-31,,Submitted,FY25/26,251231 AIANZL FS S78.pdf,1,0,Finance - Insurance,Normal companies
9,8,AIG INSURANCE NEW ZEALAND LIMITED,31-12-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,AIG INSURANCE NEW ZEALAND LIMITED,2025-12-31,,Submitted,FY25/26,AIG Insurance New Zealand Limited Climate Statement 2025.pdf,1,0,Finance - Insurance,Normal companies
10,9,AIG INSURANCE NEW ZEALAND LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AIG INSURANCE NEW ZEALAND LIMITED,2024-12-31,,Submitted,FY24/25,AIG Insurance New Zealand Limited Climate Statement 2024.pdf,3,0,Finance - Insurance,Normal companies
11,9,AIG INSURANCE NEW ZEALAND LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AIG INSURANCE NEW ZEALAND LIMITED,2024-12-31,,Submitted,FY24/25,AIG Insurance New Zealand Limited GHG Assurance Report.pdf,3,0,Finance - Insurance,Normal companies
12,9,AIG INSURANCE NEW ZEALAND LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AIG INSURANCE NEW ZEALAND LIMITED,2024-12-31,,Submitted,FY24/25,AIGNZ Climate Exemption Letter May 2025.pdf,3,0,Finance - Insurance,Normal companies
