,count
not_found,15
NASA Sea Level Change Portal,2
Urban Intelligence Resilience Explorer™,2
MAGICCv7.5.3,2
GISS-E2.1,2
enterprise risk matrix,1
Toitū emanage,1
vulnerability and exposure tool,1
ESGIS geospatial platform,1
vendor flood models,1
LandscapeDNA,1
Toitū emanage software,1
council flood studies,1
emanage,1
capital models,1
EECA projections,1
technical pricing models,1
risk-based flood pricing models,1
GIS flood modelling,1
ALOS elevation model,1
capital modelling,1
NATHAN hazard zones (Munich Re),1
Toitū Emanage software,1
third party risk data (flooding),1
OECD Env-Growth (SSP GDP projections),1
