,Unnamed: 0,file_name,company_name,period_year,period_date,industry,cohort,pages_num,number_characters,number_words,negative,neutral,positive,compound,readable,digits,dollars,percentages,drought,severe drought,dry,SPI,standardised precipitation index,standardized precipitation index,rainfall,10 minute average,topography,wind,extreme winds,cyclone,tsunami,river,flood,river flooding,fluvial,daily rainfall,river level,flow,soils,vegetation,coastal,sea-level,sea level,esl,extreme sea,coastal flooding,inundation,groundwater,nearshore,bathymetry,bathymetric,shoreline change,aerial,aerial photography,historical aerial,soil,geology,heatwave,extreme temperature,humidity,extreme heat,heat,landslide, soil erosion,erosion,extreme event,disaster,emission,carbon,ghg,greenhouse,methane, ets , gns,merit,riskscape,nigem,nz searise,antarctica, niwa,Company_Scheme,Cohort,pdf_files,FinalInclusion,quantitivate,quantitivate_nodigits,quantitivate_relative,quantitivate_relative_nodigits
0,0.0,AA Insurance 2025 Climate Statement FINAL SIGNED.pdf,AA INSURANCE LIMITED,2025,30/06/2025,Finance - Insurance,FY24/25,34,89332,11995,0.08,0.863,0.058,-0.9987,Readable,1680,16,24,1,0,0,0,0,0,0,0,0,1,0,0,0,6,11,0,0,0,0,2,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,27,0,0,0,0,0,0,0,0,0,3,AA INSURANCE LIMITED,FY24/25,AA Insurance 2025 Climate Statement FINAL SIGNED.pdf,1,1720,40,0.019254018716697265,0.0004477678771324945
1,1.0,AA Insurance 2024 Climate Statements.pdf,AA INSURANCE LIMITED,2024,30/06/2024,Finance - Insurance,FY23/24,23,60776,8337,0.08,0.859,0.061,-0.9963,Readable,919,0,17,0,0,0,0,0,0,0,0,0,6,0,0,0,6,21,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,AA INSURANCE LIMITED,FY23/24,AA Insurance 2024 Climate Statements.pdf,1,936,17,0.015400816111623009,0.0002797156772410162
2,2.0,240523 FY2024 Annual Report.pdf,AFT PHARMACEUTICALS LIMITED,2024,31/03/2024,Pharmaceuticals,FY23/24,124,289280,39517,0.042,0.847,0.111,1.0,Readable,10338,403,202,1,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,19,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,14,0,0,0,0,2,0,0,0,0,0,AFT PHARMACEUTICALS LIMITED,FY23/24,240523 FY2024 Annual Report.pdf,1,10943,605,0.03782840154867256,0.002091399336283186
3,3.0,250522 AFT FY25 Annual Report.pdf,AFT PHARMACEUTICALS LIMITED,2025,31/03/2025,Pharmaceuticals,FY24/25,127,306385,41866,0.039,0.849,0.112,1.0,Readable,11165,428,248,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,15,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,66,0,0,0,0,3,0,0,0,0,0,AFT PHARMACEUTICALS LIMITED,FY24/25,250522 AFT FY25 Annual Report.pdf,1,11841,676,0.038647453367495144,0.002206374332947109
4,4.0,AIA NZ Group Annual Report Dec-2024 FINAL_stamped.pdf,AIA NEW ZEALAND LIMITED,2024,31/12/2024,Finance - Insurance,FY24/25,85,327269,56988,0.06,0.828,0.112,1.0,Readable,9041,143,147,1,0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,21,54,0,0,0,0,0,0,0,0,0,5,AIA NEW ZEALAND LIMITED,FY24/25,AIA NZ Group Annual Report Dec-2024 FINAL_stamped.pdf,1,9331,290,0.028511713605627174,0.0008861212030470347
5,5.0,AIA NZ Climate Related Disclosers Report FINAL_signed.pdf,AIA NEW ZEALAND LIMITED,2023,31/12/2023,Finance - Insurance,FY23/24,23,60527,8120,0.072,0.848,0.08,0.996,Readable,864,2,11,1,0,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,25,10,0,0,0,0,0,0,0,0,0,6,AIA NEW ZEALAND LIMITED,FY23/24,AIA NZ Climate Related Disclosers Report FINAL_signed.pdf,1,877,13,0.014489401424157814,0.00021478018074578287
6,6.0,AIG Insurance New Zealand Limited Climate Statement 2024.pdf,AIG INSURANCE NEW ZEALAND LIMITED,2024,31/12/2024,Finance - Insurance,FY24/25,31,73818,10185,0.083,0.845,0.072,-0.9846,Readable,927,1,9,2,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,21,39,0,0,0,0,0,0,0,0,0,0,AIG INSURANCE NEW ZEALAND LIMITED,FY24/25,AIG Insurance New Zealand Limited Climate Statement 2024.pdf,1,937,10,0.012693381018179848,0.00013546831396136445
7,7.0,2024 Air New Zealand CLIMATE STATEMENT updated with signatures 9 Oct 24.pdf,AIR NEW ZEALAND LIMITED,2024,30/06/2024,Airport,FY23/24,50,192901,26515,0.06,0.886,0.054,-0.9927,Readable,3346,8,25,0,0,1,0,0,0,0,0,0,2,0,0,0,8,4,0,0,0,0,4,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,112,104,0,0,0,0,0,0,0,0,0,0,AIR NEW ZEALAND LIMITED,FY23/24,2024 Air New Zealand CLIMATE STATEMENT updated with signatures 9 Oct 24.pdf,1,3379,33,0.017516757300376877,0.00017107220802380495
8,8.0,airnz-2025-climate-statement.pdf,AIR NEW ZEALAND LIMITED,2025,30/06/2025,Airport,FY24/25,54,214933,29701,0.054,0.888,0.059,0.9994,Readable,4245,14,35,2,0,2,0,0,0,0,0,0,9,0,0,0,8,6,0,0,0,0,5,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,163,122,0,0,0,0,1,0,0,0,0,0,AIR NEW ZEALAND LIMITED,FY24/25,airnz-2025-climate-statement.pdf,1,4294,49,0.019978318824936142,0.00022797802105772497
9,9.0,ANZBankNZCRDFY24.pdf,ANZ BANK NEW ZEALAND LIMITED,2024,30/09/2024,Finance - Banks,FY24/25,64,263085,34687,0.08,0.869,0.052,-0.9999,Readable,4313,42,113,30,0,0,0,0,0,0,0,0,1,0,0,0,11,44,0,0,0,0,2,0,0,15,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,54,176,0,0,0,0,0,0,0,0,0,18,ANZ BANK NEW ZEALAND LIMITED,FY24/25,ANZBankNZCRDFY24.pdf,1,4468,155,0.01698310431989661,0.000589163198205903
