industry,n_C1,n_C2,pages_num_mean_C1,pages_num_mean_C2,pages_num_pvalue,number_words_mean_C1,number_words_mean_C2,number_words_pvalue,compound_mean_C1,compound_mean_C2,compound_pvalue,digits_mean_C1,digits_mean_C2,digits_pvalue,dollars_mean_C1,dollars_mean_C2,dollars_pvalue,percentages_mean_C1,percentages_mean_C2,percentages_pvalue,quantitivate_relative_mean_C1,quantitivate_relative_mean_C2,quantitivate_relative_pvalue,quantitivate_relative_nodigits_mean_C1,quantitivate_relative_nodigits_mean_C2,quantitivate_relative_nodigits_pvalue
Agriculture,10,12,28.0,53.6667,0.1239,11389.5,21856.4167,0.1088,0.1104,0.6653,0.1562,1585.5,4135.9167,0.1995,10.0,70.5833,0.3359,51.8,137.8333,0.2015,0.0184,0.0217,0.2551,0.0007,0.0009,0.2582
Airport,4,4,27.25,36.5,0.4186,15605.75,19701.25,0.4703,-0.51,0.3014,0.276,2074.0,2628.5,0.4674,15.0,16.75,0.824,29.75,42.0,0.4065,0.0188,0.0183,0.6463,0.0004,0.0004,0.9442
Constructions,5,5,25.6,41.8,0.2329,9966.6,16114.2,0.2298,-0.2069,-0.598,0.5503,1326.2,2299.4,0.2706,11.2,28.8,0.2353,39.6,112.2,0.2671,0.0175,0.0198,0.4258,0.0006,0.0011,0.3298
Energy,7,6,44.8571,56.6667,0.3111,20687.8571,26170.5,0.2747,0.6663,0.9986,0.3001,3075.8571,3719.6667,0.5649,33.7143,48.8333,0.1906,67.2857,92.8333,0.4763,0.0197,0.0193,0.9006,0.0006,0.0007,0.4447
Finance - Banks,13,13,40.5385,54.5385,0.0199,16676.6923,25486.9231,0.0092,-0.4456,-0.5346,0.7983,2201.0,3664.3077,0.0123,22.2308,48.3077,0.0084,60.7692,119.1538,0.0134,0.0207,0.0206,0.9738,0.0006,0.0009,0.1233
Finance - Insurance,13,16,22.3077,44.125,0.0016,9087.0,18146.375,0.013,-0.6888,-0.4979,0.5439,990.7692,3225.6875,0.0331,8.4615,51.0,0.096,21.9231,47.1875,0.0521,0.0155,0.0219,0.1271,0.0004,0.0006,0.2361
Finance - Other,9,9,56.8889,56.4444,0.9849,18304.8889,20458.6667,0.7672,0.8398,-0.0601,0.0215,4037.5556,4157.8889,0.9623,67.0,67.3333,0.9963,94.0,129.0,0.6185,0.0239,0.0232,0.9075,0.0008,0.0009,0.5602
Healthcare,4,4,55.25,64.0,0.8797,19170.75,23611.0,0.8255,0.0075,0.0012,0.994,4762.25,5200.75,0.9424,102.75,96.25,0.9627,146.0,156.5,0.9521,0.023,0.0211,0.8324,0.0011,0.0009,0.5867
Infrastructure,8,8,70.375,92.75,0.538,24839.125,37513.25,0.2837,0.4302,0.4991,0.8821,4191.625,7857.5,0.2805,55.5,158.375,0.2459,108.25,254.75,0.2139,0.023,0.0241,0.8265,0.0008,0.001,0.6254
Other industries,18,19,25.6667,47.7368,0.0121,12242.6111,19367.3684,0.0708,-0.1321,0.3239,0.1546,2272.7778,3720.0526,0.2087,30.4444,66.0526,0.3169,62.5556,82.0526,0.5571,0.0223,0.023,0.84,0.0008,0.0007,0.9013
Pharmaceuticals,2,2,72.0,76.5,0.9561,23458.5,25826.5,0.9264,0.4307,0.9974,0.4244,5564.0,6074.5,0.9483,207.0,219.5,0.9691,104.0,131.0,0.8759,0.0264,0.0264,0.9992,0.0012,0.0013,0.9588
Real Estates,7,7,35.5714,49.5714,0.1123,12753.1429,20018.5714,0.0906,-0.1414,0.1433,0.6267,1580.2857,2603.2857,0.0493,23.4286,37.0,0.4307,39.8571,81.1429,0.1278,0.0176,0.0179,0.8819,0.0006,0.0007,0.4098
Retirement Village,6,6,49.6667,42.5,0.71,15055.6667,15207.0,0.9773,0.6637,0.6691,0.9911,2969.0,2198.5,0.6438,58.6667,11.8333,0.3883,76.1667,49.6667,0.5932,0.0219,0.0188,0.5134,0.0008,0.0005,0.4503
Telecom,5,5,82.0,48.2,0.3781,29279.0,20186.6,0.5103,0.1927,0.2017,0.9899,6769.6,4452.4,0.5786,223.4,79.8,0.3968,165.0,82.4,0.3503,0.0263,0.0248,0.8737,0.0012,0.0008,0.4261
ALL INDUSTRIES,111,116,40.6036,53.1293,0.013,15669.5405,21818.6552,0.0008,0.0128,0.1285,0.3713,2680.0721,3886.181,0.0223,44.1802,64.4483,0.1985,68.2162,104.8966,0.0207,0.0206,0.0216,0.4077,0.0007,0.0008,0.2882
FINANCE SECTOR,35,38,37.9714,50.6053,0.0643,14276.3429,21205.2632,0.0082,-0.2054,-0.4068,0.3577,2223.7429,3596.5263,0.0746,28.6286,53.9474,0.208,54.8857,91.1842,0.0769,0.0196,0.0217,0.3626,0.0006,0.0008,0.0823
NON-FINANCE SECTOR,76,78,41.8158,54.359,0.062,16311.1447,22117.4872,0.0164,0.1132,0.3893,0.0692,2890.2237,4027.2949,0.0991,51.3421,69.5641,0.3906,74.3553,111.5769,0.0803,0.0211,0.0215,0.7434,0.0008,0.0008,0.7553
