,scenario,scenario_renamed
28,1.5¬∞C,1.5∞C
49,1.5¬∞C,1.5∞C
53,1.5¬∞C,1.5∞C
56,1.5¬∞C,1.5∞C
59,1.5¬∞C,1.5∞C
62,1.5¬∞C,1.5∞C
65,1.5¬∞C,1.5∞C
68,1.5¬∞C,1.5∞C
85,1.5¬∞C,1.5∞C
94,1.5¬∞C,1.5∞C
108,1.5¬∞C,1.5∞C
124,1.5¬∞C,1.5∞C
126,1.5¬∞C,1.5∞C
129,1.5¬∞C,1.5∞C
135,1.5¬∞C,1.5∞C
138,1.5¬∞C,1.5∞C
141,1.5¬∞C,1.5∞C
150,1.5¬∞C,1.5∞C
153,1.5¬∞C,1.5∞C
160,1.5¬∞C,1.5∞C
163,1.5¬∞C,1.5∞C
166,1.5¬∞C,1.5∞C
169,1.5¬∞C,1.5∞C
208,1.5¬∞C,1.5∞C
211,1.5¬∞C,1.5∞C
223,1.5¬∞C,1.5∞C
227,1.5¬∞C,1.5∞C
233,1.5¬∞C,1.5∞C
248,1.5¬∞C,1.5∞C
251,1.5¬∞C,1.5∞C
254,1.5¬∞C,1.5∞C
269,1.5¬∞C,1.5∞C
270,1.5¬∞C,1.5∞C
282,1.5¬∞C,1.5∞C
285,1.5¬∞C,1.5∞C
288,1.5¬∞C,1.5∞C
319,1.5¬∞C,1.5∞C
322,1.5¬∞C,1.5∞C
339,1.5¬∞C,1.5∞C
342,1.5¬∞C,1.5∞C
345,1.5¬∞C,1.5∞C
354,1.5¬∞C,1.5∞C
360,1.5¬∞C,1.5∞C
382,1.5¬∞C,1.5∞C
392,1.5¬∞C,1.5∞C
401,1.5¬∞C,1.5∞C
404,1.5¬∞C,1.5∞C
407,1.5¬∞C,1.5∞C
411,1.5¬∞C,1.5∞C
417,1.5¬∞C,1.5∞C
427,1.5¬∞C,1.5∞C
458,1.5¬∞C,1.5∞C
461,1.5¬∞C,1.5∞C
464,1.5¬∞C,1.5∞C
478,1.5¬∞C,1.5∞C
511,1.5¬∞C,1.5∞C
524,1.5¬∞C,1.5∞C
527,1.5¬∞C,1.5∞C
560,1.5¬∞C,1.5∞C
563,1.5¬∞C,1.5∞C
569,1.5¬∞C,1.5∞C
578,1.5¬∞C,1.5∞C
581,1.5¬∞C,1.5∞C
599,1.5¬∞C,1.5∞C
602,1.5¬∞C,1.5∞C
605,1.5¬∞C,1.5∞C
608,1.5¬∞C,1.5∞C
610,1.5¬∞C,1.5∞C
624,1.5¬∞C,1.5∞C
627,1.5¬∞C,1.5∞C
631,1.5¬∞C,1.5∞C
634,1.5¬∞C,1.5∞C
643,1.5¬∞C,1.5∞C
650,1.5¬∞C,1.5∞C
656,1.5¬∞C,1.5∞C
