,Unnamed: 0,Company Name,PeriodText,Type,Investment Scheme Name,status,period_year,Company_Scheme,PeriodDate,Analysed_2024,Status,Cohort,pdf_files,pdf_count,no_pdf,Industry,Types,FinalInclusion
0,0,AA INSURANCE LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,AA INSURANCE LIMITED,2025-06-30,,Submitted,FY24/25,AA Insurance 2025 Climate Statement FINAL SIGNED.pdf,2,0,Finance - Insurance,Normal companies,1.0
2,1,AA INSURANCE LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AA INSURANCE LIMITED,2024-06-30,,Submitted,FY23/24,AA Insurance 2024 Climate Statements.pdf,1,0,Finance - Insurance,Normal companies,1.0
3,2,AFT PHARMACEUTICALS LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AFT PHARMACEUTICALS LIMITED,2024-03-31,,Submitted,FY23/24,240523 FY2024 Annual Report.pdf,2,0,Pharmaceuticals,Normal companies,1.0
5,3,AFT PHARMACEUTICALS LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,AFT PHARMACEUTICALS LIMITED,2025-03-31,,Submitted,FY24/25,250522 AFT FY25 Annual Report.pdf,1,0,Pharmaceuticals,Normal companies,1.0
6,5,AIA NEW ZEALAND LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AIA NEW ZEALAND LIMITED,2024-12-31,,Submitted,FY24/25,AIA NZ Group Annual Report Dec-2024 FINAL_stamped.pdf,1,0,Finance - Insurance,Normal companies,1.0
7,6,AIA NEW ZEALAND LIMITED,31-12-2023 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2023,AIA NEW ZEALAND LIMITED,2023-12-31,1.0,Submitted,FY23/24,AIA NZ Climate Related Disclosers Report FINAL_signed.pdf,1,0,Finance - Insurance,Normal companies,1.0
10,9,AIG INSURANCE NEW ZEALAND LIMITED,31-12-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AIG INSURANCE NEW ZEALAND LIMITED,2024-12-31,,Submitted,FY24/25,AIG Insurance New Zealand Limited Climate Statement 2024.pdf,3,0,Finance - Insurance,Normal companies,1.0
13,10,AIR NEW ZEALAND LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AIR NEW ZEALAND LIMITED,2024-06-30,,Submitted,FY23/24,2024 Air New Zealand CLIMATE STATEMENT updated with signatures 9 Oct 24.pdf,1,0,Airport,Normal companies,1.0
14,11,AIR NEW ZEALAND LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,AIR NEW ZEALAND LIMITED,2025-06-30,,Submitted,FY24/25,airnz-2025-climate-statement.pdf,1,0,Airport,Normal companies,1.0
15,12,ANZ BANK NEW ZEALAND LIMITED,30-09-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,ANZ BANK NEW ZEALAND LIMITED,2024-09-30,,Submitted,FY24/25,ANZBankNZCRDFY24.pdf,1,0,Finance - Banks,Normal companies,1.0
18,15,ANZ GROUP HOLDINGS LIMITED,30-09-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,ANZ GROUP HOLDINGS LIMITED,2024-09-30,,Submitted,FY24/25,Notice to RoFSP - FY24 CRD.pdf,1,0,Finance - Banks,Normal companies,1.0
20,17,ARBORGEN HOLDINGS LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,ARBORGEN HOLDINGS LIMITED,2024-03-31,,Submitted,FY23/24,24-07-30 ArborGen Holdings Limited Climate Statements for FY24.pdf,1,0,Agriculture,Normal companies,1.0
21,19,ARBORGEN HOLDINGS LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,ARBORGEN HOLDINGS LIMITED,2025-03-31,,Submitted,FY24/25,25-07-31 ArborGen Holdings Climate Statements FY25.pdf,1,0,Agriculture,Normal companies,1.0
22,20,ARGOSY PROPERTY LIMITED,31-03-2024 - Click to view Climate Statement/s,Normal companies,,Have records and have submitted,2024,ARGOSY PROPERTY LIMITED,2024-03-31,,Submitted,FY23/24,2024-Climate-Related-Financial-Disclosures FINAL.pdf,1,0,Real Estates,Normal companies,1.0
23,22,ARGOSY PROPERTY LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,ARGOSY PROPERTY LIMITED,2025-03-31,,Submitted,FY24/25,2025-Climate-related-Disclosures-20.05.2025.pdf,1,0,Real Estates,Normal companies,1.0
24,23,ARVIDA GROUP LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,ARVIDA GROUP LIMITED,2024-03-31,,Submitted,FY23/24,Arvida Group Limited - Annual Report with Climate Related Disclosures - FY24.pdf,2,0,Retirement Village,Normal companies,1.0
26,25,ARVIDA GROUP LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,ARVIDA GROUP LIMITED,2025-03-31,,Submitted,FY24/25,2025 CRD Report.pdf,3,0,Retirement Village,Normal companies,1.0
29,26,ASB BANK LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,ASB BANK LIMITED,2024-06-30,1.0,Submitted,FY23/24,ASB FY24 Sustainability Report and Climate Statement.pdf,1,0,Finance - Banks,Normal companies,1.0
30,27,ASB BANK LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,ASB BANK LIMITED,2025-06-30,,Submitted,FY24/25,ASB Bank Sustainability Report and Climate Statement 2025.pdf,1,0,Finance - Banks,Normal companies,1.0
31,28,ASSET PLUS LIMITED,31-03-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,ASSET PLUS LIMITED,2024-03-31,,Submitted,FY23/24,Asset Plus FY24 Climate Statement.pdf,1,0,Finance - Other,Normal companies,1.0
32,29,ASSET PLUS LIMITED,31-03-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,ASSET PLUS LIMITED,2025-03-31,,Submitted,FY24/25,Asset Plus Limited FY25 Climate Statements.pdf,1,0,Finance - Other,Normal companies,1.0
33,31,ASTERON LIFE LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,ASTERON LIFE LIMITED,2024-06-30,,Submitted,FY23/24,Asteron Life Limited FY24 Climate Related Disclosure - October 2024.pdf,1,0,Finance - Insurance,Normal companies,1.0
34,32,ASTERON LIFE LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,ASTERON LIFE LIMITED,2025-06-30,,Submitted,FY24/25,Asteron Life Climate-related Disclosure - 1 July 2024 to 31 December 2025.pdf,1,0,Finance - Insurance,Normal companies,1.0
35,33,AUCKLAND COUNCIL,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AUCKLAND COUNCIL,2024-06-30,,Submitted,FY23/24,AR 2023-2024 Climate Statement 16.10.24.pdf,3,0,Other industries,Normal companies,1.0
38,34,AUCKLAND COUNCIL,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,AUCKLAND COUNCIL,2025-06-30,,Submitted,FY24/25,Auckland Council Climate Statement 2024-2025.pdf,1,0,Other industries,Normal companies,1.0
39,35,AUCKLAND INTERNATIONAL AIRPORT LIMITED,30-06-2025 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2025,AUCKLAND INTERNATIONAL AIRPORT LIMITED,2025-06-30,,Submitted,FY24/25,2025 Climate-related disclosure.pdf,1,0,Airport,Normal companies,1.0
40,36,AUCKLAND INTERNATIONAL AIRPORT LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,AUCKLAND INTERNATIONAL AIRPORT LIMITED,2024-06-30,,Submitted,FY23/24,2024 Climate-related Disclosure.pdf,1,0,Airport,Normal companies,1.0
46,48,BANK OF NEW ZEALAND,30-09-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,BANK OF NEW ZEALAND,2024-09-30,,Submitted,FY24/25,BNZ Climate Statements 2024.pdf,1,0,Finance - Banks,Normal companies,1.0
50,51,BARRAMUNDI LIMITED,30-06-2024 - Select to view climate statement documents,Normal companies,,Have records and have submitted,2024,BARRAMUNDI LIMITED,2024-06-30,,Submitted,FY23/24,Barramundi Limited - Climate Statement - 30 June 2024.pdf,1,0,Finance - Other,Normal companies,1.0
