,keyword,count
0,drought,93
1,severe drought,0
2,dry,5
3,SPI,0
4,standardised precipitation index,0
5,standardized precipitation index,0
6,rainfall,0
7,10 minute average,0
8,topography,0
9,wind,77
10,extreme winds,0
11,cyclone,0
12,tsunami,0
13,river,153
14,flood,479
15,river flooding,0
16,fluvial,53
17,daily rainfall,0
18,river level,0
19,flow,75
20,soils,0
21,vegetation,0
22,coastal,159
25,sea-level,0
26,sea level,221
27,esl,5
28,extreme sea,0
29,coastal flooding,0
30,inundation,1
31,groundwater,0
32,nearshore,0
33,bathymetry,0
34,bathymetric,0
35,shoreline change,0
36,aerial,0
37,aerial photography,0
38,historical aerial,0
41,soil,47
42,geology,0
43,heatwave,0
44,extreme temperature,0
45,humidity,0
47,extreme heat,0
48,heat,194
49,landslide,0
51, soil erosion,0
52,erosion,1
58,extreme event,0
62,disaster,0
63,emission,42
64,carbon,1178
65,ghg,771
66,greenhouse,0
67,methane,0
68, ets ,0
74, gns,0
75,merit,3
76,riskscape,0
77,nigem,0
78,nz searise,0
80,antarctica,0
81, niwa,121
