Value,Type,file_name
DocuSign Envelope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
DocuSign Envelope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
Industry Limited,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
NZX,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
Climate,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
P.F.I.,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
Group,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
DocuSign Envelope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
"the Task 
Force",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
"Financial 
Disclosures",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
TCFD,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
"PFI’s 
future intentions",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
DocuSign Envelope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
"the External 
Reporting Board",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
GHG,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
"NZ CS 2:
 ",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
Scope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
GHG,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
Scope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
GHG,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
Scope 3 GHG emissions1,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
DocuSign Envelope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
PFI’s Board,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
Oversees,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
Oversees,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
Board Audit & Risk Committee,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
Board,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
PFI’s Climate,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
PFI’s,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
PFI’s,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
Board,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
PFI’s,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
the Senior Leadership Team,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
PFI’s Climate,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
"Management Sustainability Meetings
Meets",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
PFI’s Sustainability Strategy,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
the Senior Leadership Team,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
DocuSign Envelope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
PFI’s Board of Directors,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
Board,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
Sustainability Strategy,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
Board,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
Audit and Risk Committee,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
the Audit and Risk Committee,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
Board,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
"The Audit and Risk 
Committee",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
Board,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt
