Value,Type,file_name,clean_value,count
DocuSign Envelope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,docusign envelop,56
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
DocuSign Envelope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,docusign envelop,56
Industry Limited,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,industri limit,1
NZX,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,nzx,547
Climate,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,climat,142
P.F.I.,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,p f,1
Group,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,group,634
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
DocuSign Envelope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,docusign envelop,56
"the Task 
Force",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,task forc,7
"Financial 
Disclosures",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,financi disclosur,13
TCFD,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,tcfd,54
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
"PFI’s 
future intentions",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi futur intent,1
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
DocuSign Envelope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,docusign envelop,56
"the External 
Reporting Board",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,extern report board,31
GHG,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,ghg,640
"NZ CS 2:
 ",ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,nz cs,64
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
PFI,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,pfi,197
Scope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,scope,190
GHG,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,ghg,640
Scope,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,scope,190
GHG,ORG,2023 12 31 - PFI - Climate-related Disclosures - Signed.txt,ghg,640
