,0
Orderly 1.50C,NGFS-orderly
Shared Socioeconomic Pathway 1-1.9,SSP1-1.9
Network for Greening the Financial System (NGFS) Net Zero 2050,NGFS-net zero
orderly 1.5C scenario,NGFS-orderly
hot house world > 3°C scenario,NGFS-hot house world
disorderly scenario less than 2C,disorderly
Orderly,NGFS-orderly
Too Little Too Late,NGFS-too little too late
Hothouse,NGFS-hot house world
IPCC Shared Socioeconomic Pathways (SSPs),SSP-generic
Downscaled NZ climate change projections,other
Network for Greening the Financial System (NGFS) Climate Scenarios,NGFS-generic
,other
SSP1-1.9,SSP1-1.9
SSP2-4.5,SSP2-4.5
SSP1-2.6,SSP2-2.6
orderly scenario,NGFS-orderly
too little too late scenario,NGFS-too little too late
hot house world scenario,NGFS-hot house world
Net Zero 2050,NGFS-net zero
Delayed Transition,NGFS-delayed
Current Policies,NGFS-current policies
Fast action (1.5°C future),other
Delayed rapid action,NGFS-delayed
Required action (2.0°C future),other
Current trajectory (>3.0°C future),other
Best case scenario,other
Worst case scenario,other
Disorderly,disorderly
1.5C,other
1.7C,other
1.8C,other
2.4C,other
3.90C+,other
11C,other
IPCC Shared Socioeconomic Pathway (SSP) scenarios,SSP-generic
Network for Greening the Financial System (NGFS) scenarios,NGFS-generic
immediate stringent policy action and innovation,other
limit global warming,other
CO2 removal,other
sustainable levels of bioenergy production,other
Shared Socio-economic Pathways (SSP),SSP-generic
Global references,other
Temperature pathways,other
Orderly/Tū-ā-pae a 1.5 degrees Celsius climate-related scenario,NGFS-orderly
Disorderly/Tū-ā-hopo a 2 degrees Celsius climate related scenario,disorderly
Hothouse World/Tū-ā-tapape a 3 degrees Celsius or greater climate related scenario,NGFS-hot house world
IPCC 5th and 6th Assessment Reports,other
AR6 Synthesis Report: Climate Change 2023,other
Scenario modelling data from The Aotearoa Circle,other
Climate Change scenarios for New Zealand published by NIWA,other
New Zealand findings from the IPCC 5th Assessment Report,other
Ministry for the Environment's Aotearoa New Zealand climate change projections guidance,MFE scenarios
1.5 degree scenario,other
Climate Change scenarios for New Zealand published by the National Institute of Water and Atmospheric Research (NIWA),other
"Ministry for the Environment's ""Aotearoa New Zealand climate change projections guidance""",MFE scenarios
1.5C orderly scenario,NGFS-orderly
hot house world greater than 3C,NGFS-hot house world
SSP1 Net Zero 2050,NGFS-net zero
SSP2 Delayed Transition,NGFS-delayed
SSP3 Current Policies,NGFS-current policies
IPCC SSP1-1.9,SSP1-1.9
IPCC SSP2-4.5,SSP2-4.5
IPCC SSP5-8.5,other
NGFS Net Zero 2050,NGFS-net zero
IEA Net Zero Emissions by 2050,NGFS-net zero
NGFS Nationally Determined Contributions,other
IEA Announced Pledges,other
NGFS Current Policies,NGFS-current policies
IEA Stated Policies,other
NIWA RCP2.6,SSP2-2.6
NIWA RCP4.5,SSP2-4.5
NIWA RCP8.5,other
CCC 'Tailwinds',other
CCC 'Headwinds',other
CCC 'Current Policy Reference',other
BOCNZ specific scenarios,other
IPCC Shared Socioeconomic Pathway (SSP) scenarios for physical data,SSP-generic
Network for Greening the Financial System (NGFS) scenarios for transition data,NGFS-generic
Net Zero 2050 (Orderly Category),NGFS-net zero
Delayed Transition (Disorderly Category),disorderly
Current Policies (Hot House World Category),NGFS-hot house world
Orderly 1.5C scenario,NGFS-orderly
Too Little Too Late >2C scenario,NGFS-too little too late
Hothouse >3C scenario,NGFS-hot house world
Orderly 1.50°C scenario,NGFS-orderly
Net Zero by 2050 scenario,NGFS-net zero
Global Energy and Climate Model scenario,other
Climate Change 2021 The physical science basis summary for policy makers scenario,other
Intergovernmental Panel on Climate Change: Sixth Assessment Report scenario,other
Summary for Policymakers scenario,other
Coastal Hazards and Climate Change scenario,other
1.5C pathway,other
>2C pathway,other
ipcc ssp1-1.9,SSP1-1.9
ipcc ssp2-4.5,SSP2-4.5
ipcc ssp5-8.5,other
ngfs net zero 2050,NGFS-net zero
iea net zero emissions by 2050 (nze),NGFS-net zero
ngfs nationally determined contributions (ndc's),NGFS-ndc
iea announced pledges (aps),other
ngfs current policies,NGFS-current policies
iea stated policies (steps),other
Net Zero scenario,NGFS-net zero
Paris Agreement scenario,other
Orderly 1.5°C,NGFS-orderly
Too Little Too Late >2°C,NGFS-too little too late
Hothouse >3°C,NGFS-hot house world
SSP5-8.5,other
1.5 degrees Celsius scenario,other
3 degrees Celsius or greater scenario,other
third scenario,other
Representative Concentration Pathway 8.5H+,other
3 degree Celsius global warming assumption by 2100,other
National Institute of Water and Atmospheric Research (NIWA),other
orderly transition,NGFS-orderly
hot house world,NGFS-hot house world
"too little, too late",NGFS-too little too late
SSP1-1.9 and RCP 2.6,SSP1-1.9
SSP2-4.5 and RCP 4.5,SSP2-4.5
SSP5-8.5 and RCP 8.5,other
Intergovernmental Panel on Climate Change (IPCC) Shared Socioeconomic Pathways (SSPs),SSP-generic
Downscaled NZ climate change projections prepared by NIWA for Minister for the Environment (MfE),other
