,0
IPCC,other
NGFS,other
NZBA,other
National Climate Projections for Aotearoa,other
Intergovernmental Panel on Climate Change (IPCC),other
Network for Greening the Financial System (NGFS),other
International Energy Agency (IEA),other
Climate Change Commission (CCC),other
OECD,other
IEA,other
NIWA,other
CCC,other
Shared Socioeconomic Pathways (SSPs),shared sioeconomic pathways (ssps)
Downscaled NZ climate change projections prepared by NIWA for Minister for the Environment (MfE),other
Network for Greening the Financial System (NGFS) Climate Scenarios.,other
,other
SSP1-1.9,other
SSP2-4.5,other
SSP3-7.0,other
NZBA Report,other
GIC Report,other
Climate Change Commission,other
The Agri-Adaptation Roadmap,other
Urban Intelligence,other
No temperature outcomes provided,other
"There is no temperature outcome associated with this answer, so an empty list [] should be returned.","there is no temperature outcome assiated with this answer, so an empty list [] should be returned."
IPCC SSP,other
RCP,other
N/A,other
There is not enough information to create a list of temperature outcomes.,other
"""I don't know.""[I don't know.",other
New Zealand Green Building Council (NZGBC),other
Beca Limited,other
Vista Group,other
Unknown,other
Not used,other
Not commonly used,other
Bank of China,other
"""NGFS",other
"IEA""",other
"BNZ, New Zealand Banking Association, common set, climate scenario narratives, New Zealand banking sector, three scenario narratives, four chosen time horizons","bnz, new zealand banking assiation, common set, climate scenario narratives, new zealand banking sector, three scenario narratives, four chosen time horizons"
Niwa,other
I don't know,other
RBNZ,other
