,original,code
0,ANZ-specific climate scenario narratives,ANZ-specific climate scenario narratives
2,Organisation for Economic Co-operation and Development,Organisation for Economic Co-operation and Development
3,International Energy Agency,International Energy Agency
4,IPCC Assessment Reports,IPCC Assessment Reports
5,NIWA,NIWA
6,MfE,MfE
7,Shared Socioeconomic Pathways,Shared Socioeconomic Pathways
8,Intergovernmental Panel on Climate Change,Intergovernmental Panel on Climate Change
9,Network for Greening the Financial System,Network for Greening the Financial System
10,NGFS Climate Scenarios,NGFS Climate Scenarios
12,Shared Socioeconomic Pathways (SSP),Shared Socioeconomic Pathways (SSP)
13,IPCC scenarios,IPCC scenarios
14,AR6 Working Group (WGIII) report,AR6 Working Group (WGIII) report
15,Intergovernmental Panel on Climate Change (IPCC) framework,Intergovernmental Panel on Climate Change (IPCC) framework
16,Buddle Findlay,Buddle Findlay
17,CCO,CCO
18,Network for Greening the Financial System (NGFS) scenarios,Network for Greening the Financial System (NGFS) scenarios
19,International Energy Agency (IEA) model,International Energy Agency (IEA) model
20,Climate Change Commission (CCC) scenarios,Climate Change Commission (CCC) scenarios
22,Representative Concentration Pathways (RCPs),Representative Concentration Pathways (RCPs)
23,Shared Socioeconomic Pathways (SSPs),Shared Socioeconomic Pathways (SSPs)
24,Coupled Model Intercomparison Project Phase 5 (CMIP5),Coupled Model Intercomparison Project Phase 5 (CMIP5)
25,Urban Intelligence Resilience ExplorerTM,Urban Intelligence Resilience ExplorerTM
26,global climate models used by New Zealand's National Institute of Water and Atmospheric research (NIWA),global climate models used by New Zealand's National Institute of Water and Atmospheric research (NIWA)
27,Intergovernmental Panel on Climate Change (IPCC) Shared Socioeconomic Pathway (SSP) scenarios,Intergovernmental Panel on Climate Change (IPCC) Shared Socioeconomic Pathway (SSP) scenarios
28,Network for Greening the Financial System (NGFS) scenarios,Network for Greening the Financial System (NGFS) scenarios
30,Intergovernmental Panel for Climate Change (IPCC) data,Intergovernmental Panel for Climate Change (IPCC) data
31,Shared Socio-economic Pathways (SSP),Shared Socio-economic Pathways (SSP)
32,Coastal Climate Risk Assessment Report,Coastal Climate Risk Assessment Report
33,Corporate Lead Team workshops,Corporate Lead Team workshops
34,environmental experts,environmental experts
35,global references,global references
36,Aotearoa Circle's Agricultural Sector Climate Scenario work,Aotearoa Circle's Agricultural Sector Climate Scenario work
37,IPCC,IPCC
38,other organizations,other organizations
39,IPCC 5th and 6th Assessment Reports,IPCC 5th and 6th Assessment Reports
40,AR6 Synthesis Report,AR6 Synthesis Report
41,climate change scenarios for New Zealand published by NIWA,climate change scenarios for New Zealand published by NIWA
42,future analysis incorporating external advice,future analysis incorporating external advice
44,S&P Global Climanomics platform,S&P Global Climanomics platform
45,NIWA's extreme sea level flood maps,NIWA's extreme sea level flood maps
46,The Network for Greening the Financial System (NGFS) frameworks,The Network for Greening the Financial System (NGFS) frameworks
47,SSP1 (‘Net Zero 2050’),SSP1 (‘Net Zero 2050’)
48,SSP2 (‘Delayed Transition’),SSP2 (‘Delayed Transition’)
49,SSP3 (‘Current Policies’),SSP3 (‘Current Policies’)
50,Vista Group’s scenarios,Vista Group’s scenarios
51,IPCC's Shared Socioeconomic Pathways (SSPs),IPCC's Shared Socioeconomic Pathways (SSPs)
52,Network for Greening the Financial System's (NGFS) Net Zero 2050 scenario,Network for Greening the Financial System's (NGFS) Net Zero 2050 scenario
53,International Energy Agency's (IEA) Net Zero Emissions by 2050 scenario,International Energy Agency's (IEA) Net Zero Emissions by 2050 scenario
54,Intergovernmental Panel on Climate Change (IPCC) Shared Socioeconomic Pathway (SSP) scenarios,Intergovernmental Panel on Climate Change (IPCC) Shared Socioeconomic Pathway (SSP) scenarios
55,Network for Greening the Financial System (NGFS) scenarios,Network for Greening the Financial System (NGFS) scenarios
56,The Network for Greening the Financial System (NGFS) scenarios,The Network for Greening the Financial System (NGFS) scenarios
57,internal assessments,internal assessments
58,climate considerations,climate considerations
59,solvency stress test,solvency stress test
60,scenario analysis outputs,scenario analysis outputs
61,stress test,stress test
62,weather event scenario,weather event scenario
63,2023 ICAAP,2023 ICAAP
64,The IPCC,The IPCC
65,IEA,IEA
66,NGFS,NGFS
67,Global Energy and Climate Model,Global Energy and Climate Model
68,GISS-E2.1 model,GISS-E2.1 model
69,various other models,various other models
70,IPCC SSP1-1.9 emissions model,IPCC SSP1-1.9 emissions model
71,FMA Information Sheet: Climate-related Disclosures - Scenario Analysis,FMA Information Sheet: Climate-related Disclosures - Scenario Analysis
72,NZBA report,NZBA report
73,IPCC's Shared Socioeconomic Pathways,IPCC's Shared Socioeconomic Pathways
74,NGFS's Net Zero 2050 scenario,NGFS's Net Zero 2050 scenario
75,global climate parameters,global climate parameters
76,socio-economic parameters,socio-economic parameters
77,global energy and emission pathway parameters,global energy and emission pathway parameters
78,New Zealand-specific climate parameters,New Zealand-specific climate parameters
79,NZ Banking Group,NZ Banking Group
80,Network for Greening the Financial System,Network for Greening the Financial System
81,Intergovernmental Panel on Climate Change,Intergovernmental Panel on Climate Change
82,International Energy Agency,International Energy Agency
83,models,models
84,internal assessments,internal assessments
85,high level climate considerations,high level climate considerations
86,solvency stress test,solvency stress test
87,scenario analysis outputs,scenario analysis outputs
88,SSP1-1.9,SSP1-1.9
89,SSP2-4.5,SSP2-4.5
90,SSP5-8.5,SSP5-8.5
92,National Institute of Water and Atmospheric Research (NIWA),National Institute of Water and Atmospheric Research (NIWA)
93,Representative Concentration Pathways 2.6,Representative Concentration Pathways 2.6
94,8.5,8.5
95,National Institute of Water and Atmospheric Research (NIWA),National Institute of Water and Atmospheric Research (NIWA)
96,sea level rise,sea level rise
97,potential flood risks,potential flood risks
98,macro-economic models,macro-economic models
99,socioeconomic outcomes,socioeconomic outcomes
100,[representative concentration warming pathways (RCPs),[representative concentration warming pathways (RCPs)
101,Intergovernmental Panel on Climate Change (IPCC) 6th assessment,Intergovernmental Panel on Climate Change (IPCC) 6th assessment
102,Shared Socio-economic Pathways (SSP) scenarios,Shared Socio-economic Pathways (SSP) scenarios
103,New Zealand,New Zealand
104,IPCC Assessment Reports,IPCC Assessment Reports
105,NIWA,NIWA
106,MfE,MfE
107,Intergovernmental Panel on Climate Change (IPCC) Shared Socioeconomic Pathways (SSPs),Intergovernmental Panel on Climate Change (IPCC) Shared Socioeconomic Pathways (SSPs)
108,Downscaled NZ climate change projections,Downscaled NZ climate change projections
109,Minister for the Environment (MfE),Minister for the Environment (MfE)
110,Network for Greening the Financial System (NGFS) Climate Scenarios,Network for Greening the Financial System (NGFS) Climate Scenarios
111,GDP,GDP
112,demographics,demographics
113,energy sources,energy sources
114,trade policies,trade policies
115,physical climate data,physical climate data
116,land use change,land use change
117,XRB,XRB
118,ICBC NZ,ICBC NZ
119,NZBA scenarios,NZBA scenarios
120,CO2 concentration pathways,CO2 concentration pathways
121,Shared Socioeconomic Pathways,Shared Socioeconomic Pathways
122,IPCC,IPCC
123,6th Assessment Report (AR6),6th Assessment Report (AR6)
