,0
1.5oC,1.5
>2oC,>2
>3oC,>3
2oC,2
+2.5oC,+2.5
+1.7oC,+1.7
,other
<3oC,<3
<4oC,<4
2-3oC,2-3
<2oC,<2
2.0oC,2.0
>3.0oC,>3.0
1.7oC,1.7
1.8oC,1.8
2.4oC,2.4
3.90oC+,3.90+
1.4oC,1.4
2°C,other
>2°C,other
2.6oC,2.6
3oC or greater,3 or greater
3.0oC,3.0
<1.5oC,<1.5
unspecified,other
higher,other
expected to be significantly higher,other
1.6oC,1.6
1.50oC,1.50
+1.5oC,+1.5
4.2oC,4.2
2-4.5oC,2-4.5
5-8.5oC,5-8.5
net zero emissions,other
NDCs,other
2.1oC,2.1
2.1-3.0oC,2.1-3.0
3oC,3
3.2oC,3.2
2.5oC,2.5
4.4oC,4.4
Net zero global emissions around 2050,other
2.7 degrees Celsius,other
