,original,code
0,global climate and socio-economic parameters,global climate and socio-economic parameters
1,global energy and emissions pathway and parameters,global energy and emissions pathway and parameters
2,banking sector scenarios,banking sector scenarios
4,global temperature outcomes,global temperature outcomes
5,shifting focus towards nationalism and security,shifting focus towards nationalism and security
6,failures to implement decarbonisation policies,failures to implement decarbonisation policies
7,consumer and market behavior,consumer and market behavior
8,emissions growth,emissions growth
9,changes in climate patterns and extreme weather events, climate patterns and extreme weather events
10,sea level rise,sea level rise
11,rainfall intensity,rainfall intensity
12,number of hot days,number of hot days
14,social and political traction towards a low emissions future,social and political traction towards a low emissions future
15,behavioural change,behavioural change
16,uptake and development of low-emissions technologies,uptake and development of low-emissions technologies
17,carbon price,carbon price
18,reliance on fossil fuels,reliance on fossil fuels
19,globalisation,globalisation
20,consumption and materialism,consumption and materialism
21,economic inequality,economic inequality
22,political instability,political instability
23,geopolitical tensions,geopolitical tensions
24,extreme weather events,extreme weather events
25,sea level rise,sea level rise
26,internal and global migration,internal and global migration
27,physical risk exposure to hazards such as wildfire,physical risk exposure to hazards such as wildfire
28,extreme cold,extreme cold
29,extreme heat,extreme heat
30,water stress,water stress
31,coastal flood,coastal flood
32,riverine flood,riverine flood
33,tropical cyclone,tropical cyclone
34,drought,drought
36,GDP,GDP
37,demographics,demographics
38,energy sources,energy sources
39,trade policies,trade policies
40,physical climate data,physical climate data
41,land use change,land use change
42,global population,global population
43,global carbon price,global carbon price
44,domestic GDP,domestic GDP
45,likelihood of extreme temperature events,likelihood of extreme temperature events
49,policies,policies
50,consumer sentiment,consumer sentiment
51,emissions levels,emissions levels
53,policy and socioeconomic assumptions,policy and socioeconomic assumptions
54,negative emissions technology,negative emissions technology
55,carbon sequestration from afforestation,carbon sequestration from afforestation
56,energy pathways,energy pathways
57,macroeconomic trends,macroeconomic trends
59,capital allocation,capital allocation
60,"policy, legal and regulatory instruments","policy, legal and regulatory instruments"
61,fuel demand,fuel demand
62,population estimates and projections,population estimates and projections
63,the scope of the scenario analysis,the scope of the scenario analysis
65,level of global temperature outcomes,level of global temperature outcomes
66,"actions taken by governments, businesses, and individuals to mitigate or adapt to climate change","actions taken by governments, businesses, and individuals to mitigate or adapt to climate change"
67,changes in technology, technology
68,energy sources,energy sources
69,consumer behavior,consumer behavior
71,level of challenges to mitigation and adaptation,level of challenges to mitigation and adaptation
72,level of climate policies implemented,level of climate policies implemented
73,physical impacts of climate change,physical impacts of climate change
75,changes in projected rainfall and rainfall intensity, projected rainfall and rainfall intensity
76,projected relative sea level rise,projected relative sea level rise
77,temperature,temperature
78,humidity,humidity
79,surface radiation,surface radiation
81,access to water,access to water
82,changes in biodiversity and ecosystems, biodiversity and ecosystems
83,technology advances and sustainable farming practices,technology advances and sustainable farming practices
84,global demand and consumer behavior,global demand and consumer behavior
85,emissions pricing,emissions pricing
86,trade barriers,trade barriers
87,financial incentives,financial incentives
89,policy action,policy action
90,innovation,innovation
91,CO2 removal,CO2 removal
92,sustainable levels of bioenergy production,sustainable levels of bioenergy production
93,physical impacts,physical impacts
94,socioeconomic impacts,socioeconomic impacts
95,temperature,temperature
96,extreme events,extreme events
97,climate change,climate change
98,climate-related risks,climate-related risks
99,time horizons,time horizons
100,ESG-related risks,ESG-related risks
101,ownership,ownership
102,ESG issues,ESG issues
103,risk management,risk management
104,metrics,metrics
105,targets,targets
106,workshops,workshops
107,subject matter experts,subject matter experts
108,value chain,value chain
109,operations,operations
110,distribution,distribution
111,suppliers,suppliers
112,CRD working group,CRD working group
113,CRD Steering Committee,CRD Steering Committee
114,electrification,electrification
115,transport,transport
116,light vehicles,light vehicles
117,buses,buses
118,trucks,trucks
119,domestic aviation,domestic aviation
120,light passenger vehicles,light passenger vehicles
121,transport emissions,transport emissions
122,cycling,cycling
123,walking,walking
124,public transport,public transport
125,working from home,working from home
126,technological advancement,technological advancement
127,steel production,steel production
128,carbon intensity,carbon intensity
129,agricultural gains,agricultural gains
130,exotic forestry,exotic forestry
131,native forestry,native forestry
132,physical climate change,physical climate change
133,global health impacts,global health impacts
134,zoonotic disease,zoonotic disease
135,vector borne disease,vector borne disease
136,pandemic risk,pandemic risk
137,socioeconomic effects,socioeconomic effects
138,New Zealand population,New Zealand population
139,New Zealand economy,New Zealand economy
141,population change,population change
142,development/adoption of new transport fuels technology,development/adoption of new transport fuels technology
143,global temperature increase by 2100,global temperature increase by 2100
144,economic changes,economic changes
145,environmental changes,environmental changes
146,social changes,social changes
148,socio-economic,socio-economic
149,technological,technological
150,environmental,environmental
151,political factors,political factors
153,global water cycle,global water cycle
154,climate events,climate events
155,carbon sinks,carbon sinks
156,sea level rise,sea level rise
157,extreme heat days,extreme heat days
158,agriculture and horticulture impacts,agriculture and horticulture impacts
159,social and response services,social and response services
160,critical infrastructure,critical infrastructure
161,climate refugees,climate refugees
162,transition risks,transition risks
164,effects of climate change,effects of climate change
165,extreme weather events,extreme weather events
166,sea level rise,sea level rise
167,changes in the atmosphere, the atmosphere
168,ocean,ocean
169,biosphere,biosphere
170,potential for damage to land and property,potential for damage to land and property
171,delays and disruptions to development projects,delays and disruptions to development projects
172,potential impacts on sales contracts and revenue,potential impacts on sales contracts and revenue
173,social and infrastructure pressures,social and infrastructure pressures
174,potential for climate refugees,potential for climate refugees
177,climate-related risks and opportunities,climate-related risks and opportunities
178,targets,targets
179,current and anticipated impacts,current and anticipated impacts
180,regulatory changes,regulatory changes
182,climate-related risks and opportunities,climate-related risks and opportunities
183,physical and transition risks,physical and transition risks
184,extreme weather events,extreme weather events
185,pandemics,pandemics
186,regulatory changes,regulatory changes
187,changes in consumer behavior and preferences, consumer behavior and preferences
188,technological advancements,technological advancements
189,economic volatility,economic volatility
190,trade wars,trade wars
192,global climate and socio-economic parameters,global climate and socio-economic parameters
193,global energy and emission pathway parameters,global energy and emission pathway parameters
194,scenario risk assumptions,scenario risk assumptions
195,government spending and policy on infrastructure and energy,government spending and policy on infrastructure and energy
196,regulation and actions of the RBNZ and FMA,regulation and actions of the RBNZ and FMA
197,global energy and emission pathways,global energy and emission pathways
198,impacts of climate change on the economy and society,impacts of climate change on the economy and society
200,access to water,access to water
201,changes in biodiversity and ecosystems, biodiversity and ecosystems
202,new technology advances and sustainable farming practices,new technology advances and sustainable farming practices
203,changing global demand and consumer behavior,changing global demand and consumer behavior
204,severe acute and chronic weather events,severe acute and chronic weather events
206,physical impacts,physical impacts
207,transitional impacts,transitional impacts
208,financial impacts,financial impacts
209,policy reaction to climate change,policy reaction to climate change
210,timing of regulatory and legal interventions,timing of regulatory and legal interventions
211,consumer sentiment,consumer sentiment
212,macro-economic conditions,macro-economic conditions
213,severity of weather events,severity of weather events
215,global climate,global climate
216,socio-economic parameters,socio-economic parameters
217,IPCC SSP1-1.9 scenario,IPCC SSP1-1.9 scenario
218,acute climate risk factors,acute climate risk factors
219,extreme weather events,extreme weather events
221,emission pathways,emission pathways
222,social factors,social factors
223,technological factors,technological factors
224,climate-related key performance indicators,climate-related key performance indicators
226,"societal changes related to technology,policy,behavior to support the transition to a lower emissions economy","societal changes related to technology,policy,behavior to support the transition to a lower emissions economy"
227,coordinated and timely action around the world to curb greenhouse gases,coordinated and timely action around the world to curb greenhouse gases
228,level of transition risk,level of transition risk
229,physical risk,physical risk
230,global climate and socio-economic parameters,global climate and socio-economic parameters
231,global energy and emission pathway parameters,global energy and emission pathway parameters
232,New Zealand-specific climate parameters,New Zealand-specific climate parameters
233,IPCC SSPs,IPCC SSPs
234,NGFS Net Zero 2050,NGFS Net Zero 2050
235,IEA Net Zero Emissions by 2050,IEA Net Zero Emissions by 2050
236,NZE,NZE
238,governmental climate policy changes,governmental climate policy changes
239,macroeconomic factors,macroeconomic factors
240,technological developments,technological developments
241,carbon prices,carbon prices
243,collective action towards a low-carbon global economy,collective action towards a low-carbon global economy
244,"societal changes related to technology, policy and behaviour","societal changes related to technology, policy and behaviour"
245,carbon pricing,carbon pricing
246,emissions trajectories,emissions trajectories
248,socio-economic factors,socio-economic factors
249,population growth,population growth
250,economic development,economic development
251,energy use,energy use
252,Shared Socioeconomic Pathways (SSPs),Shared Socioeconomic Pathways (SSPs)
253,potential global warming impacts,potential global warming impacts
254,coming century,coming century
256,interest costs,interest costs
257,net profit after tax,net profit after tax
258,revenue,revenue
259,current financial impact,current financial impact
260,socioeconomic assumptions,socioeconomic assumptions
261,macroeconomic trends,macroeconomic trends
262,energy pathways,energy pathways
263,changes in consumer behavior, consumer behavior
264,technological advancements,technological advancements
265,government policies,government policies
267,weather events becoming more severe,weather events becoming more severe
268,global warming reaching at least 3 degrees Celsius by 2100,global warming reaching at least 3 degrees Celsius by 2100
269,potential exposure of the mortgage portfolio to coastal flooding,potential exposure of the mortgage portfolio to coastal flooding
271,physical risks,physical risks
272,transition risks,transition risks
273,socioeconomic outcomes,socioeconomic outcomes
275,sea level rise,sea level rise
276,flooding,flooding
277,population growth,population growth
278,regulatory/policy changes,regulatory/policy changes
279,technology advancements,technology advancements
280,transportation,transportation
281,mitigation vs adaptation efforts,mitigation vs adaptation efforts
283,GDP,GDP
284,demographics,demographics
285,energy sources,energy sources
286,trade policies,trade policies
287,physical climate data,physical climate data
288,land use change,land use change
289,global population,global population
290,global carbon price,global carbon price
291,domestic GDP,domestic GDP
292,the likely occurrence of a 50-year extreme temperature event,the likely occurrence of a 50-year extreme temperature event
