,Link,Company Name,Text,text_new,Scheme Name,status,scheme,Due Date,Submit Date
0,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=8b6b5ca5-8394-ee11-be37-00224892b34a,AA INSURANCE LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
1,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=a96b5ca5-8394-ee11-be37-00224892b34a,AFT PHARMACEUTICALS LIMITED,"Reporting Period
. sort descending
Actions
31-03-2024 - Due by 31-07-2024",31-03-2024 - Due by 31-07-2024,,Have records but not submitted,Company,31/03/2024,31/07/2024
2,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=8d6b5ca5-8394-ee11-be37-00224892b34a,AIA NEW ZEALAND LIMITED,"Reporting Period
. sort descending
Actions
31-12-2023 - Due by 30-04-2024",31-12-2023 - Due by 30-04-2024,,Have records but not submitted,Company,31/12/2023,30/04/2024
3,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=ab6b5ca5-8394-ee11-be37-00224892b34a,AIR NEW ZEALAND LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
4,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=ad6b5ca5-8394-ee11-be37-00224892b34a,ARBORGEN HOLDINGS LIMITED,"Reporting Period
. sort descending
Actions
31-03-2024 - Due by 31-07-2024",31-03-2024 - Due by 31-07-2024,,Have records but not submitted,Company,31/03/2024,31/07/2024
5,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=af6b5ca5-8394-ee11-be37-00224892b34a,ARGOSY PROPERTY LIMITED,"Reporting Period
. sort descending
Actions
31-03-2024 - Due by 31-07-2024",31-03-2024 - Due by 31-07-2024,,Have records but not submitted,Company,31/03/2024,31/07/2024
6,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=b16b5ca5-8394-ee11-be37-00224892b34a,ARVIDA GROUP LIMITED,"Reporting Period
. sort descending
Actions
31-03-2024 - Due by 31-07-2024",31-03-2024 - Due by 31-07-2024,,Have records but not submitted,Company,31/03/2024,31/07/2024
7,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=656b5ca5-8394-ee11-be37-00224892b34a,ASB BANK LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
8,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=b36b5ca5-8394-ee11-be37-00224892b34a,ASSET PLUS LIMITED,"Reporting Period
. sort descending
Actions
31-03-2024 - Due by 31-07-2024",31-03-2024 - Due by 31-07-2024,,Have records but not submitted,Company,31/03/2024,31/07/2024
9,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=8f6b5ca5-8394-ee11-be37-00224892b34a,ASTERON LIFE LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
10,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=b56b5ca5-8394-ee11-be37-00224892b34a,AUCKLAND COUNCIL,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
11,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=b76b5ca5-8394-ee11-be37-00224892b34a,AUCKLAND INTERNATIONAL AIRPORT LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
12,https://crd-app.companiesoffice.govt.nz/dashboard/reportingentity/?id=b96b5ca5-8394-ee11-be37-00224892b34a,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,"Reporting Period
. sort descending
Actions
There are no records to display.",There are no records to display.,,No records,Company,0,0
